X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
55.0,54.0,41.0,5.0,1896.0,878.1151184318229,733.4229022766573,7.0,-0.08978517062325,244.0,240.0,41.0,110.0,108.0,82.0,55.0,107.0,41.0,244.0,476.0,41.0,110.0,214.0,82.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,703
43.0,37.0,61.0,5.0,2059.0,1041.1151184318228,866.0493868570774,4.0,-0.0917937236610987,191.0,164.0,61.0,86.0,74.0,122.0,43.0,90.0,61.0,191.0,400.0,61.0,86.0,180.0,122.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,704
59.0,30.0,38.0,5.0,1757.0,739.1151184318229,622.1483743884144,6.0,-0.0859251310714865,262.0,133.0,38.0,118.0,60.0,76.0,59.0,83.0,38.0,262.0,369.0,38.0,118.0,166.0,76.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,705
58.0,23.0,47.0,5.0,1627.0,609.1151184318229,467.7129074335879,5.0,-0.1313136430346849,258.0,102.0,47.0,116.0,46.0,94.0,58.0,76.0,47.0,258.0,338.0,47.0,116.0,152.0,94.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,706
55.0,19.0,62.0,5.0,2170.0,1152.1151184318228,974.7959308571192,4.0,-0.083369348066523,244.0,84.0,62.0,110.0,38.0,124.0,55.0,72.0,62.0,244.0,320.0,62.0,110.0,144.0,124.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,707
44.0,19.0,57.0,5.0,2048.0,1030.1151184318228,913.8471102495508,9.0,-0.0598098082703688,196.0,84.0,57.0,88.0,38.0,114.0,44.0,72.0,57.0,196.0,320.0,57.0,88.0,144.0,114.0,10.0,0.0,236.0,0.0,0.0,53.0,0.0,708
56.0,59.0,58.0,6.0,1842.0,824.1151184318229,628.642566255145,8.0,-0.1345527573091429,249.0,262.0,58.0,112.0,118.0,116.0,56.0,112.0,58.0,249.0,498.0,58.0,112.0,224.0,116.0,12.0,0.0,236.0,0.0,0.0,53.0,0.0,709
54.0,35.0,58.0,6.0,2350.0,1332.1151184318228,1001.7130246242853,10.0,-0.1415708756407751,240.0,156.0,58.0,108.0,70.0,116.0,54.0,88.0,58.0,240.0,392.0,58.0,108.0,176.0,116.0,12.0,0.0,236.0,0.0,0.0,53.0,0.0,710
44.0,64.0,18.0,4.0,1753.0,565.5145190007172,474.4085371784835,5.0,-0.0876083872560415,196.0,284.0,18.0,88.0,128.0,36.0,44.0,117.0,73.0,196.0,520.0,73.0,88.0,234.0,146.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,752
43.0,47.0,9.0,4.0,2000.0,812.5145190007172,529.1183474496426,4.0,-0.2112322816754431,191.0,209.0,9.0,86.0,94.0,18.0,43.0,100.0,64.0,191.0,445.0,64.0,86.0,200.0,128.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,753
45.0,43.0,29.0,4.0,1911.0,723.5145190007172,609.7267181786864,4.0,-0.0853467456967949,200.0,191.0,29.0,90.0,86.0,58.0,45.0,96.0,84.0,200.0,427.0,84.0,90.0,192.0,168.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,754
26.0,43.0,11.0,4.0,2216.0,1028.5145190007172,852.5031324703789,7.0,-0.0935724268151786,116.0,191.0,11.0,52.0,86.0,22.0,26.0,96.0,66.0,116.0,427.0,66.0,52.0,192.0,132.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,755
17.0,42.0,8.0,4.0,2176.0,988.5145190007172,776.125607530631,4.0,-0.1203582012427468,76.0,187.0,8.0,34.0,84.0,16.0,17.0,95.0,63.0,76.0,423.0,63.0,34.0,190.0,126.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,756
22.0,37.0,34.0,4.0,1610.0,422.5145190007172,418.9684618467565,3.0,-0.004214056890835,98.0,164.0,34.0,44.0,74.0,68.0,22.0,90.0,89.0,98.0,400.0,89.0,44.0,180.0,178.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,757
25.0,24.0,13.0,4.0,2503.0,1315.5145190007172,961.8445676161532,3.0,-0.155298281005811,111.0,107.0,13.0,50.0,48.0,26.0,25.0,77.0,68.0,111.0,343.0,68.0,50.0,154.0,136.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,758
5.0,23.0,16.0,4.0,1744.0,556.5145190007172,584.133985090169,4.0,0.0242138274765589,22.0,102.0,16.0,10.0,46.0,32.0,5.0,76.0,71.0,22.0,338.0,71.0,10.0,152.0,142.0,8.0,0.0,236.0,55.0,0.0,53.0,55.0,759
25.0,61.0,27.0,5.0,1969.0,781.5145190007172,695.3002359777245,8.0,-0.0583785357861293,111.0,271.0,27.0,50.0,122.0,54.0,25.0,114.0,82.0,111.0,507.0,82.0,50.0,228.0,164.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,760
37.0,55.0,25.0,5.0,2010.0,822.5145190007172,702.2682906771817,8.0,-0.0788612171912777,164.0,244.0,25.0,74.0,110.0,50.0,37.0,108.0,80.0,164.0,480.0,80.0,74.0,216.0,160.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,761
31.0,38.0,27.0,5.0,2182.0,994.5145190007172,882.9623190874495,9.0,-0.0594160192286905,138.0,169.0,27.0,62.0,76.0,54.0,31.0,91.0,82.0,138.0,405.0,82.0,62.0,182.0,164.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,762
23.0,22.0,28.0,5.0,2327.0,1139.5145190007172,1046.3805732193712,8.0,-0.0426067774765692,102.0,98.0,28.0,46.0,44.0,56.0,23.0,75.0,83.0,102.0,334.0,83.0,46.0,150.0,166.0,10.0,0.0,236.0,55.0,0.0,53.0,55.0,763
47.0,9.0,14.0,4.0,1851.0,650.8345357307694,448.4287286815608,3.0,-0.1841286010384559,209.0,40.0,14.0,94.0,18.0,28.0,101.0,62.0,14.0,449.0,276.0,14.0,202.0,124.0,28.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,870
19.0,63.0,41.0,4.0,1485.0,483.9440765325616,448.8393366439645,3.0,-0.0376343955013633,84.0,280.0,41.0,38.0,126.0,82.0,73.0,63.0,41.0,324.0,280.0,41.0,146.0,126.0,82.0,8.0,240.0,0.0,0.0,54.0,0.0,0.0,877
20.0,4.0,15.0,4.0,2254.0,1053.8345357307694,886.8122351439587,3.0,-0.0860652763261636,89.0,18.0,15.0,40.0,8.0,30.0,74.0,57.0,15.0,329.0,254.0,15.0,148.0,114.0,30.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,878
35.0,8.0,39.0,4.0,1187.0,185.94407653256155,178.8555904873512,7.0,-0.0194311746584555,156.0,36.0,39.0,70.0,16.0,78.0,89.0,8.0,39.0,396.0,36.0,39.0,178.0,16.0,78.0,8.0,240.0,0.0,0.0,54.0,0.0,0.0,879
22.0,60.0,29.0,5.0,2430.0,1428.9440765325617,1368.0259066890926,6.0,-0.0217800584950508,98.0,267.0,29.0,44.0,120.0,58.0,76.0,60.0,29.0,338.0,267.0,29.0,152.0,120.0,58.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,880
52.0,59.0,25.0,5.0,2499.0,1497.9440765325617,1228.3448088400055,10.0,-0.0988887381447522,231.0,262.0,25.0,104.0,118.0,50.0,106.0,59.0,25.0,471.0,262.0,25.0,212.0,118.0,50.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,881
57.0,58.0,36.0,5.0,2335.0,1333.9440765325617,1243.81258162982,9.0,-0.034965090524485,253.0,258.0,36.0,114.0,116.0,72.0,111.0,58.0,36.0,493.0,258.0,36.0,222.0,116.0,72.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,882
13.0,58.0,7.0,5.0,1940.0,938.9440765325616,684.9901361725884,5.0,-0.156381913979715,58.0,258.0,7.0,26.0,116.0,14.0,67.0,58.0,7.0,298.0,258.0,7.0,134.0,116.0,14.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,883
54.0,57.0,7.0,5.0,1672.0,670.9440765325616,472.82727858109126,5.0,-0.1732136384301948,240.0,253.0,7.0,108.0,114.0,14.0,108.0,57.0,7.0,480.0,253.0,7.0,216.0,114.0,14.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,884
64.0,48.0,22.0,5.0,2029.0,1027.9440765325617,1053.799716889267,7.0,0.0124201837125238,284.0,213.0,22.0,128.0,96.0,44.0,118.0,48.0,22.0,524.0,213.0,22.0,236.0,96.0,44.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,885
36.0,41.0,7.0,5.0,1721.0,719.9440765325616,621.7969498197509,6.0,-0.0731490837539906,160.0,182.0,7.0,72.0,82.0,14.0,90.0,41.0,7.0,400.0,182.0,7.0,180.0,82.0,14.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,886
13.0,39.0,10.0,5.0,1649.0,647.9440765325616,562.6622357930628,6.0,-0.0704455609319175,58.0,173.0,10.0,26.0,78.0,20.0,67.0,39.0,10.0,298.0,173.0,10.0,134.0,78.0,20.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,887
63.0,35.0,22.0,5.0,1873.0,871.9440765325616,784.4765632530764,6.0,-0.0528051336590472,280.0,156.0,22.0,126.0,70.0,44.0,117.0,35.0,22.0,520.0,156.0,22.0,234.0,70.0,44.0,10.0,240.0,0.0,0.0,54.0,0.0,0.0,888
20.0,27.0,10.0,5.0,1932.0,1209.896349981736,1257.018121135283,8.0,0.0191015017769182,89.0,120.0,10.0,40.0,54.0,20.0,74.0,27.0,65.0,329.0,120.0,65.0,148.0,54.0,130.0,10.0,240.0,0.0,55.0,54.0,0.0,55.0,1116
42.0,69.0,20.0,4.0,2073.0,872.8345357307694,679.869446441776,5.0,-0.1242768045323078,187.0,307.0,20.0,84.0,138.0,40.0,96.0,122.0,20.0,427.0,543.0,20.0,192.0,244.0,40.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1184
13.0,65.0,26.0,4.0,1604.0,403.8345357307694,350.5398454490011,6.0,-0.070647534714024,58.0,289.0,26.0,26.0,130.0,52.0,67.0,118.0,26.0,298.0,525.0,26.0,134.0,236.0,52.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1185
61.0,62.0,14.0,4.0,1856.0,655.8345357307694,400.2921632453399,4.0,-0.2419618524303684,271.0,276.0,14.0,122.0,124.0,28.0,115.0,115.0,14.0,511.0,512.0,14.0,230.0,230.0,28.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1186
64.0,58.0,31.0,4.0,1692.0,491.8345357307694,407.4246746534928,3.0,-0.0938659955912015,284.0,258.0,31.0,128.0,116.0,62.0,118.0,111.0,31.0,524.0,494.0,31.0,236.0,222.0,62.0,8.0,240.0,236.0,0.0,54.0,53.0,0.0,1187
