,taskID,compID,processID,threadID,start,stop,width
59,6,5,14156,9088,9.53385329246521,9.75385332107544,0.2200000286102295
60,6,6,14156,9088,9.75385332107544,9.834853172302246,0.08099985122680664
61,6,7,14156,9088,9.835852146148682,9.836852312088013,0.0010001659393310547
62,6,8,14156,9088,0.0,0.0,0.0
63,6,9,14156,9088,0.0,0.0,0.0
64,6,10,14156,9088,9.837852478027344,9.852853536605835,0.015001058578491211
65,6,11,14156,9088,9.852853536605835,9.852853536605835,0.0
66,7,1,16056,21524,9.806855916976929,9.847852945327759,0.04099702835083008
67,7,2,16056,21524,9.847852945327759,9.961853504180908,0.11400055885314941
68,7,3,16056,21524,9.966854572296143,10.392858505249023,0.42600393295288086
69,7,4,16056,21524,10.392858505249023,10.443857192993164,0.050998687744140625
70,7,5,16056,21524,10.443857192993164,10.779857397079468,0.3360002040863037
71,7,6,16056,21524,10.779857397079468,11.09686279296875,0.3170053958892822
72,7,7,16056,21524,11.09786343574524,11.098863124847412,0.0009996891021728516
73,7,8,16056,21524,0.0,0.0,0.0
74,7,9,16056,21524,0.0,0.0,0.0
75,7,10,16056,21524,11.098863124847412,11.114862442016602,0.015999317169189453
76,7,11,16056,21524,11.114862442016602,11.114862442016602,0.0
77,8,1,14156,9088,9.855853796005249,9.896852970123291,0.04099917411804199
78,8,2,14156,9088,9.896852970123291,10.022854566574097,0.12600159645080566
79,8,3,14156,9088,10.027854204177856,10.461859703063965,0.4340054988861084
80,8,4,14156,9088,10.461859703063965,10.508858680725098,0.04699897766113281
81,8,5,14156,9088,10.508858680725098,10.695860385894775,0.18700170516967773
82,8,6,14156,9088,10.695860385894775,10.791860103607178,0.09599971771240234
83,8,7,14156,9088,10.792861700057983,10.792861700057983,0.0
84,8,8,14156,9088,0.0,0.0,0.0
85,8,9,14156,9088,0.0,0.0,0.0
86,8,10,14156,9088,10.793860673904419,10.809860706329346,0.016000032424926758
87,8,11,14156,9088,10.809860706329346,10.809860706329346,0.0
