X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
31.0,20.0,28.0,2.0,1108.0,32.02497541294224,5.558911961846519,2.0,-0.7041864293380449,138.0,89.0,28.0,62.0,40.0,56.0,31.0,20.0,28.0,138.0,89.0,28.0,62.0,40.0,56.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,22
21.0,18.0,35.0,2.0,1907.0,831.0249754129422,542.0304530364527,1.0,-0.21047549602775603,93.0,80.0,35.0,42.0,36.0,70.0,21.0,18.0,35.0,93.0,80.0,35.0,42.0,36.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23
24.0,16.0,35.0,2.0,1866.0,790.0249754129422,521.7976223156954,5.0,-0.20446922744102022,107.0,71.0,35.0,48.0,32.0,70.0,24.0,16.0,35.0,107.0,71.0,35.0,48.0,32.0,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24
22.0,16.0,30.0,2.0,1240.0,164.02497541294224,95.03725241251604,1.0,-0.26629788363785045,98.0,71.0,30.0,44.0,32.0,60.0,22.0,16.0,30.0,98.0,71.0,30.0,44.0,32.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25
48.0,15.0,31.0,2.0,1464.0,388.02497541294224,288.5834118774623,2.0,-0.14697063383105682,213.0,67.0,31.0,96.0,30.0,62.0,48.0,15.0,31.0,213.0,67.0,31.0,96.0,30.0,62.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26
20.0,46.0,28.0,3.0,1459.0,383.02497541294224,240.40260195134934,2.0,-0.2287713579571945,89.0,204.0,28.0,40.0,92.0,56.0,20.0,46.0,28.0,89.0,204.0,28.0,40.0,92.0,56.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,27
51.0,27.0,20.0,3.0,1502.0,426.02497541294224,272.7518287937905,2.0,-0.2193449263003956,227.0,120.0,20.0,102.0,54.0,40.0,51.0,27.0,20.0,227.0,120.0,20.0,102.0,54.0,40.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,28
34.0,52.0,32.0,4.0,1519.0,443.02497541294224,333.5513884536229,3.0,-0.14096950673884995,151.0,231.0,32.0,68.0,104.0,64.0,34.0,52.0,32.0,151.0,231.0,32.0,68.0,104.0,64.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,29
20.0,30.0,37.0,4.0,1715.0,639.0249754129422,459.504789857243,5.0,-0.1634185902204898,89.0,133.0,37.0,40.0,60.0,74.0,20.0,30.0,37.0,89.0,133.0,37.0,40.0,60.0,74.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30
41.0,23.0,18.0,4.0,1730.0,654.0249754129422,437.852787026266,5.0,-0.19798204141804004,182.0,102.0,18.0,82.0,46.0,36.0,41.0,23.0,18.0,182.0,102.0,18.0,82.0,46.0,36.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31
