,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
47,25.0,46.0,63.0,2.0,964.0,-1.0,5.372222481913865,25.0,46.0,63.0,0,0,0
48,19.0,46.0,57.0,2.0,1774.0,698.0249754129422,275.7501444650312,19.0,46.0,57.0,0,0,0
49,19.0,46.0,29.0,2.0,1398.0,322.02497541294224,202.1797456058247,19.0,46.0,29.0,0,0,0
50,15.0,46.0,57.0,2.0,1818.0,742.0249754129422,294.18652808654855,15.0,46.0,57.0,0,0,0
51,3.0,46.0,22.0,2.0,1718.0,642.0249754129422,352.1729825349821,3.0,46.0,22.0,0,0,0
52,59.0,45.0,20.0,2.0,1513.0,437.02497541294224,245.71024060918873,59.0,45.0,20.0,0,0,0
53,52.0,45.0,31.0,2.0,1257.0,181.02497541294224,67.24024832518425,52.0,45.0,31.0,0,0,0
54,42.0,45.0,41.0,2.0,1369.0,293.02497541294224,177.4642634916834,42.0,45.0,41.0,0,0,0
55,15.0,45.0,20.0,2.0,1690.0,614.0249754129422,309.4509654411196,15.0,45.0,20.0,0,0,0
56,10.0,45.0,61.0,2.0,1429.0,353.02497541294224,133.65030431426973,10.0,45.0,61.0,0,0,0
57,4.0,45.0,6.0,2.0,1280.0,204.02497541294224,118.14305255358553,4.0,45.0,6.0,0,0,0
58,44.0,44.0,10.0,2.0,1512.0,436.02497541294224,240.98686036122743,44.0,44.0,10.0,0,0,0
59,39.0,44.0,10.0,2.0,1518.0,442.02497541294224,247.20725886458771,39.0,44.0,10.0,0,0,0
60,19.0,44.0,12.0,2.0,1602.0,526.0249754129422,307.38721286691055,19.0,44.0,12.0,0,0,0
61,5.0,44.0,60.0,2.0,1464.0,388.02497541294224,171.08156902125506,5.0,44.0,60.0,0,0,0
62,4.0,43.0,65.0,2.0,1444.0,368.02497541294224,212.62651609349138,4.0,43.0,65.0,0,0,0
63,22.0,42.0,27.0,2.0,1403.0,327.02497541294224,166.24576454066147,22.0,42.0,27.0,0,0,0
64,8.0,42.0,26.0,2.0,1602.0,526.0249754129422,305.0544458355319,8.0,42.0,26.0,0,0,0
65,5.0,42.0,20.0,2.0,1809.0,733.0249754129422,350.95353180399144,5.0,42.0,20.0,0,0,0
66,60.0,41.0,20.0,2.0,1550.0,474.02497541294224,231.40483517271838,60.0,41.0,20.0,0,0,0
67,60.0,41.0,7.0,2.0,1827.0,751.0249754129422,332.88471348925833,60.0,41.0,7.0,0,0,0
68,19.0,41.0,42.0,2.0,1423.0,347.02497541294224,183.1114054873559,19.0,41.0,42.0,0,0,0
69,5.0,41.0,33.0,2.0,1632.0,556.0249754129422,249.79521700129192,5.0,41.0,33.0,0,0,0
70,61.0,40.0,26.0,2.0,1520.0,444.02497541294224,199.8312716011684,61.0,40.0,26.0,0,0,0
71,50.0,40.0,7.0,2.0,1250.0,174.02497541294224,60.05897159913432,50.0,40.0,7.0,0,0,0
72,16.0,40.0,20.0,2.0,1738.0,662.0249754129422,312.1969870783028,16.0,40.0,20.0,0,0,0
73,13.0,40.0,24.0,2.0,1740.0,664.0249754129422,286.19415892876066,13.0,40.0,24.0,0,0,0
74,11.0,40.0,37.0,2.0,2309.0,1233.0249754129422,494.79470570193115,11.0,40.0,37.0,0,0,0
75,5.0,40.0,45.0,2.0,1633.0,557.0249754129422,310.92912515223543,5.0,40.0,45.0,0,0,0
76,46.0,38.0,46.0,2.0,1367.0,291.02497541294224,123.92142496438677,46.0,38.0,46.0,0,0,0
77,19.0,37.0,33.0,2.0,1654.0,578.0249754129422,344.66009466840933,19.0,37.0,33.0,0,0,0
78,19.0,37.0,26.0,2.0,1709.0,633.0249754129422,319.58582337499234,19.0,37.0,26.0,0,0,0
79,4.0,37.0,34.0,2.0,1711.0,635.0249754129422,249.54860143063686,4.0,37.0,34.0,0,0,0
80,41.0,36.0,9.0,2.0,1650.0,574.0249754129422,307.8281109771105,41.0,36.0,9.0,0,0,0
81,25.0,36.0,27.0,2.0,1990.0,914.0249754129422,401.31078027588745,25.0,36.0,27.0,0,0,0
82,46.0,35.0,19.0,2.0,1737.0,661.0249754129422,307.3767763445779,46.0,35.0,19.0,0,0,0
83,24.0,35.0,31.0,2.0,2029.0,953.0249754129422,331.20983156523647,24.0,35.0,31.0,0,0,0
84,22.0,35.0,18.0,2.0,1436.0,360.02497541294224,174.5745010389415,22.0,35.0,18.0,0,0,0
85,15.0,35.0,47.0,2.0,1436.0,360.02497541294224,164.69606737668929,15.0,35.0,47.0,0,0,0
86,53.0,34.0,5.0,2.0,1250.0,174.02497541294224,64.1627453103705,53.0,34.0,5.0,0,0,0
87,34.0,34.0,7.0,2.0,1202.0,126.02497541294224,79.01191626488878,34.0,34.0,7.0,0,0,0
88,29.0,34.0,27.0,2.0,1945.0,869.0249754129422,397.0928936112739,29.0,34.0,27.0,0,0,0
89,13.0,34.0,36.0,2.0,2298.0,1222.0249754129422,454.8689834540794,13.0,34.0,36.0,0,0,0
90,8.0,34.0,2.0,2.0,1234.0,158.02497541294224,56.21975370530353,8.0,34.0,2.0,0,0,0
91,7.0,34.0,48.0,2.0,1578.0,502.02497541294224,201.5521303575175,7.0,34.0,48.0,0,0,0
92,50.0,33.0,17.0,2.0,1511.0,435.02497541294224,193.57104315605147,50.0,33.0,17.0,0,0,0
93,43.0,33.0,15.0,2.0,1759.0,683.0249754129422,258.4610888157836,43.0,33.0,15.0,0,0,0
94,42.0,32.0,25.0,2.0,1561.0,485.02497541294224,252.26332750931644,42.0,32.0,25.0,0,0,0
95,18.0,32.0,35.0,2.0,1711.0,635.0249754129422,237.1641955290787,18.0,32.0,35.0,0,0,0
96,12.0,32.0,22.0,2.0,1475.0,399.02497541294224,216.5890205980862,12.0,32.0,22.0,0,0,0
97,8.0,32.0,39.0,2.0,2354.0,1278.0249754129422,442.919823974558,8.0,32.0,39.0,0,0,0
98,47.0,31.0,50.0,2.0,1225.0,149.02497541294224,67.87379912427409,47.0,31.0,50.0,0,0,0
99,23.0,31.0,29.0,2.0,2130.0,1054.0249754129422,418.3838025236496,23.0,31.0,29.0,0,0,0
100,19.0,31.0,40.0,2.0,1637.0,561.0249754129422,229.88505492441413,19.0,31.0,40.0,0,0,0
101,13.0,31.0,44.0,2.0,1779.0,703.0249754129422,377.7032987386115,13.0,31.0,44.0,0,0,0
102,41.0,29.0,42.0,2.0,1086.0,10.02497541294224,1.8265581336137475,41.0,29.0,42.0,0,0,0
103,5.0,29.0,16.0,2.0,1548.0,472.02497541294224,247.35272950434762,5.0,29.0,16.0,0,0,0
104,51.0,28.0,34.0,2.0,1094.0,18.02497541294224,3.2075767533224315,51.0,28.0,34.0,0,0,0
105,49.0,28.0,5.0,2.0,1503.0,427.02497541294224,202.4264002190083,49.0,28.0,5.0,0,0,0
106,33.0,28.0,40.0,2.0,1142.0,66.02497541294224,11.274777256471861,33.0,28.0,40.0,0,0,0
107,19.0,28.0,39.0,2.0,1578.0,502.02497541294224,218.55919146904424,19.0,28.0,39.0,0,0,0
108,18.0,28.0,27.0,2.0,1467.0,391.02497541294224,206.87060086180063,18.0,28.0,27.0,0,0,0
109,13.0,28.0,26.0,2.0,1436.0,360.02497541294224,197.4544869632099,13.0,28.0,26.0,0,0,0
110,5.0,28.0,36.0,2.0,1226.0,150.02497541294224,16.70007372074259,5.0,28.0,36.0,0,0,0
111,48.0,27.0,52.0,2.0,1270.0,194.02497541294224,88.58628169285427,48.0,27.0,52.0,0,0,0
112,37.0,27.0,6.0,2.0,2016.0,940.0249754129422,422.60905879607355,37.0,27.0,6.0,0,0,0
113,32.0,27.0,4.0,2.0,1576.0,500.02497541294224,213.62862746819724,32.0,27.0,4.0,0,0,0
114,51.0,26.0,20.0,2.0,1474.0,398.02497541294224,176.8115026026163,51.0,26.0,20.0,0,0,0
115,10.0,26.0,19.0,2.0,1689.0,613.0249754129422,195.14200031165402,10.0,26.0,19.0,0,0,0
116,8.0,26.0,31.0,2.0,1784.0,708.0249754129422,452.66104717534876,8.0,26.0,31.0,0,0,0
117,6.0,26.0,7.0,2.0,1662.0,586.0249754129422,262.11682370035686,6.0,26.0,7.0,0,0,0
118,38.0,25.0,17.0,2.0,1644.0,568.0249754129422,225.58189916981658,38.0,25.0,17.0,0,0,0
119,20.0,25.0,33.0,2.0,1465.0,389.02497541294224,170.83916225670208,20.0,25.0,33.0,0,0,0
120,24.0,24.0,28.0,2.0,1460.0,384.02497541294224,178.11781789894252,24.0,24.0,28.0,0,0,0
121,9.0,24.0,52.0,2.0,1353.0,277.02497541294224,142.82416148164515,9.0,24.0,52.0,0,0,0
122,64.0,23.0,8.0,2.0,1468.0,392.02497541294224,198.8276736502737,64.0,23.0,8.0,0,0,0
123,54.0,23.0,6.0,2.0,1972.0,896.0249754129422,371.70952464242686,54.0,23.0,6.0,0,0,0
124,48.0,23.0,57.0,2.0,1293.0,217.02497541294224,107.8667857995405,48.0,23.0,57.0,0,0,0
125,43.0,23.0,20.0,2.0,1613.0,537.0249754129422,219.94013204839325,43.0,23.0,20.0,0,0,0
126,15.0,23.0,44.0,2.0,1190.0,114.02497541294224,29.382172526929427,15.0,23.0,44.0,0,0,0
127,12.0,23.0,33.0,2.0,1936.0,860.0249754129422,577.7759386499732,12.0,23.0,33.0,0,0,0
128,9.0,23.0,43.0,2.0,1166.0,90.02497541294224,19.537705808259314,9.0,23.0,43.0,0,0,0
129,42.0,22.0,50.0,2.0,1432.0,356.02497541294224,233.95275089410856,42.0,22.0,50.0,0,0,0
130,39.0,22.0,20.0,2.0,1586.0,510.02497541294224,226.40285196603816,39.0,22.0,20.0,0,0,0
131,32.0,22.0,10.0,2.0,1974.0,898.0249754129422,531.4017594885146,32.0,22.0,10.0,0,0,0
132,13.0,22.0,16.0,2.0,2278.0,1202.0249754129422,599.3513655053708,13.0,22.0,16.0,0,0,0
133,45.0,21.0,17.0,2.0,1567.0,491.02497541294224,219.47165710390914,45.0,21.0,17.0,0,0,0
134,39.0,21.0,6.0,2.0,1893.0,817.0249754129422,366.5978655162903,39.0,21.0,6.0,0,0,0
